Team,name
kt,강백호
kt,배정대
kt,조용호
kt,심우준
kt,장성우
kt,알몬테
kt,황재균
kt,박경수
kt,유한준
kt,신본기
kt,김민혁
kt,문상철
kt,김태훈
kt,권동진
kt,김병희
kt,허도환
kt,이홍구
kt,강민국
kt,송민섭
kt,호잉
kt,김건형
kt,천성호
kt,오윤석
kt,홍현빈
kt,박승욱
kt,박시영
kt,심재민
kt,유원상
kt,김민수
kt,김재윤
삼성,피렐라
삼성,구자욱
삼성,박해민
삼성,김상수
삼성,이원석
삼성,강민호
삼성,오재일
삼성,김헌곤
삼성,김지찬
삼성,강한울
삼성,이학주
삼성,김동엽
삼성,김민수
삼성,김호재
삼성,송준석
삼성,최영진
삼성,박승규
삼성,김성표
삼성,김성윤
삼성,김도환
삼성,김응민
삼성,이성곤
삼성,권정웅
삼성,이재익
삼성,김윤수
삼성,노성호
삼성,오승환
삼성,
삼성,
삼성,
LG,홍창기
LG,김현수
LG,오지환
LG,유강남
LG,김민성
LG,채은성
LG,정주현
LG,라모스
LG,이천웅
LG,이형종
LG,문보경
LG,김재성
LG,이영빈
LG,서건창
LG,보어
LG,김용의
LG,이재원
LG,구본혁
LG,한석현
LG,신민재
LG,이상호
LG,이주형
LG,손호영
LG,김호은
LG,김주성
LG,장준원
LG,진해수
LG,채지선
LG,고우석
LG,최성훈
SSG,로맥
SSG,추신수
SSG,최정
SSG,최지훈
SSG,한유섬
SSG,박성한
SSG,최주환
SSG,이재원
SSG,김성현
SSG,김강민
SSG,정의윤
SSG,오태곤
SSG,고종욱
SSG,이흥련
SSG,김찬형
SSG,오준혁
SSG,정현
SSG,김창평
SSG,최항
SSG,이현석
SSG,남태혁
SSG,안상현
SSG,정진기
SSG,고명준
SSG,정상호
SSG,유서준
SSG,서진용
SSG,박민호
SSG,하재훈
SSG,김상수
NC,나성범
NC,양의지
NC,알테어
NC,노진혁
NC,강진성
NC,이명기
NC,박민우
NC,박석민
NC,김태군
NC,권희동
NC,박준영
NC,정진기
NC,이원재
NC,정현
NC,도태훈
NC,최정원
NC,지석훈
NC,전민수
NC,김기환
NC,윤형준
NC,김주원
NC,김찬형
NC,정범모
NC,이재율
NC,김준완
NC,최승민
NC,모창민
NC,박대온
NC,김민수
NC,최보성
키움,김혜성
키움,이정후
키움,서건창
키움,이용규
키움,박동원
키움,박병호
키움,송우현
키움,전병우
키움,김웅빈
키움,이지영
키움,프레이타스
키움,김휘집
키움,박주홍
키움,박준태
키움,변상권
키움,김수환
키움,송성문
키움,허정협
키움,김재현
키움,임지열
키움,김은성
키움,문찬종
키움,크레익
키움,신준우
키움,김병휘
키움,박정음
키움,이주형
키움,이명기
키움,김주형
키움,예진원
두산,페르난데스
두산,양석환
두산,허경민
두산,김재환
두산,박건우
두산,김인태
두산,강승호
두산,장승현
두산,박계범
두산,안재석
두산,김재호
두산,정수빈
두산,박세혁
두산,오재원
두산,조수행
두산,최용제
두산,안권수
두산,권민석
두산,신성현
두산,국해성
두산,백동훈
두산,오명진
두산,전민재
두산,김민혁
두산,서예일
두산,황경태
두산,박종기
두산,박지훈
두산,박치국
두산,김강률
롯데,전준우
롯데,손아섭
롯데,정훈
롯데,마차도
롯데,한동희
롯데,안치홍
롯데,이대호
롯데,추재현
롯데,김민수
롯데,김준태
롯데,지시완
롯데,김재유
롯데,나승엽
롯데,오윤석
롯데,배성근
롯데,신용수
롯데,이병규
롯데,민병헌
롯데,강로한
롯데,강태율
롯데,장두성
롯데,정보근
롯데,안중열
롯데,김주현
롯데,최민재
롯데,이주찬
롯데,이호연
롯데,김원중
롯데,이인복
롯데,나균안
KIA,최원준
KIA,김선빈
KIA,터커
KIA,박찬호
KIA,김태진
KIA,최형우
KIA,이창진
KIA,김민식
KIA,류지혁
KIA,이정훈
KIA,한승택
KIA,황대인
KIA,김호령
KIA,나지완
KIA,이우성
KIA,이진영
KIA,나주환
KIA,김규성
KIA,유민상
KIA,박민
KIA,최정용
KIA,황윤호
KIA,오선우
KIA,박정우
KIA,최정민
KIA,백용환
KIA,권혁경
KIA,강경학
KIA,
KIA,
한화,정은원
한화,하주석
한화,노시환
한화,최재훈
한화,힐리
한화,장운호
한화,정진호
한화,이성열
한화,김민하
한화,박정현
한화,노수광
한화,임종찬
한화,유장혁
한화,조한민
한화,허관회
한화,최인호
한화,이해창
한화,장지승
한화,이성곤
한화,이동훈
한화,백용환
한화,강상원
한화,이도윤
한화,강경학
한화,김태연
한화,김지수
한화,노태형
한화,페레즈
한화,정우람
한화,송윤준
