day,vs,inn,pitcher,batter,P,result,before,after,LEV,REa,WPs,WPe,WPa
2021-04-04,한화,2말,김민우,강백호,2-0,좌익수 안타,무사  1:0,무사 1루 1:0,0.99,0.398,44.0,48.1,0.041
2021-04-04,한화,4말,김민우,강백호,0-1,좌익수 안타,2사  1:0,2사 1루 1:0,0.55,0.134,37.3,39.0,0.017
2021-04-04,한화,6말,김진영,강백호,2-3,중견수 뜬공,1사  2:2,2사  2:2,0.98,-0.180,54.2,51.7,-0.024
2021-04-04,한화,9말,김범수,강백호,0-3,볼넷,무사  2:2,무사 1루 2:2,2.26,0.398,63.7,71.1,0.074
2021-04-06,LG,2말,수아레즈,강백호,2-2,강백호/13168 : 삼진 아웃,무사  0:0,1사  0:0,0.92,-0.258,55.1,52.8,-0.023
2021-04-06,LG,5말,수아레즈,강백호,2-2,강백호/13168 : 삼진 아웃,무사  2:0,1사  2:0,1.25,-0.258,28.4,25.2,-0.032
2021-04-06,LG,7말,정우영,강백호,0-0,유격수 땅볼,무사 1루 2:0,1사 1루 2:0,2.66,-0.380,28.3,22.2,-0.061
2021-04-06,LG,9말,고우석,강백호,1-1,중견수 뜬공,무사  3:2,1사  3:2,3.47,-0.258,20.0,11.2,-0.088
2021-04-07,LG,1말,정찬헌,강백호,2-3,볼넷,"1사 1,2루 0:0",1사 만루 0:0,1.91,0.679,58.5,64.3,0.058
2021-04-07,LG,4말,정찬헌,강백호,1-0,우익수 안타,무사  1:0,무사 1루 1:0,1.19,0.398,42.5,47.4,0.049
2021-04-07,LG,6말,김대유,강백호,2-0,좌익수 안타,2사  1:0,2사 1루 1:0,0.75,0.134,32.4,34.6,0.023
2021-04-07,LG,7말,정우영,강백호,0-0,중견수 안타,"2사 1,3루 3:3","2사 1,3루 3:4",3.19,1.000,58.8,79.1,0.203
2021-04-07,LG,8말,채지선,강백호,1-0,2루수 땅볼,"2사 1,2루 3:7",이닝종료 3:7,0.09,-0.466,98.8,98.6,-0.002
2021-04-08,LG,1말,이상영,강백호,1-2,유격수 병살타,"1사 1,2루 0:0",이닝종료 0:0,1.91,-0.971,58.5,50.0,-0.085
2021-04-08,LG,3말,이상영,강백호,2-1,강백호/13168 : 삼진 아웃,1사 1루 0:0,2사 1루 0:0,1.31,-0.322,55.7,52.6,-0.031
2021-04-08,LG,5말,김윤식,강백호,2-1,중견수 안타,2사  6:1,2사 1루 6:1,0.18,0.134,5.0,5.7,0.007
2021-04-08,LG,8말,진해수,강백호,1-1,중견수 안타,무사  7:1,무사 1루 7:1,0.16,0.398,1.0,1.7,0.008
2021-04-09,삼성,1초,뷰캐넌,강백호,2-2,중견수 안타,2사 1루 0:0,"2사 1,2루 0:0",0.79,0.215,52.6,50.6,0.020
2021-04-09,삼성,3초,뷰캐넌,강백호,2-2,강백호/13168 : 삼진 아웃,2사  0:0,이닝종료 0:0,0.46,-0.117,54.3,55.5,-0.012
2021-04-09,삼성,6초,뷰캐넌,강백호,1-0,2루수 병살타,"무사 1,2루 0:2",2사 3루 0:2,2.97,-1.186,64.5,80.4,-0.158
2021-04-09,삼성,8초,장필준,강백호,0-0,우익수 안타,1사 1루 0:7,"1사 1,2루 0:7",0.07,0.398,99.6,99.3,0.003
2021-04-09,삼성,9초,오승환,강백호,2-2,중견수 3루타,2사 만루 2:7,2사 3루 5:7,0.43,2.572,98.7,96.3,0.025
2021-04-10,삼성,1초,라이블리,강백호,2-3,우익수 안타,"1사 1,2루 0:0","1사 1,3루 1:0",1.93,1.272,46.2,34.3,0.120
2021-04-10,삼성,3초,라이블리,강백호,1-1,2루수 땅볼,1사  4:0,2사  4:0,0.27,-0.180,14.7,15.4,-0.007
2021-04-10,삼성,5초,심창민,강백호,2-3,1루수 땅볼,1사 1루 5:4,2사 2루 5:4,1.25,-0.229,35.7,37.6,-0.018
2021-04-10,삼성,7초,임현준,강백호,1-3,볼넷,2사  6:4,2사 1루 6:4,0.31,0.134,20.7,19.9,0.008
2021-04-11,삼성,1초,백정현,강백호,1-0,3루수 뜬공,"1사 1,2루 0:0","2사 1,2루 0:0",1.93,-0.505,46.2,50.6,-0.044
2021-04-11,삼성,3초,백정현,강백호,1-3,2루수 내야안타,"1사 1,2루 1:2",1사 만루 1:2,2.33,0.679,56.8,49.6,0.072
2021-04-11,삼성,5초,백정현,강백호,1-0,2루수 뜬공,2사  1:2,이닝종료 1:2,0.57,-0.117,69.6,71.0,-0.015
2021-04-11,삼성,8초,임현준,강백호,2-3,1루수 땅볼,무사  1:3,1사  1:3,1.45,-0.258,86.6,90.3,-0.037
2021-04-13,두산,1초,미란다,강백호,2-3,좌익수 안타,1사 1루 0:0,"1사 1,2루 0:0",1.15,0.398,49.8,46.2,0.036
2021-04-13,두산,2초,미란다,강백호,2-2,강백호/13168 : 삼진 아웃,2사 만루 1:2,이닝종료 1:2,3.15,-0.815,57.8,65.8,-0.080
2021-04-13,두산,4초,김민규,강백호,0-1,좌익수 뜬공,1사 1루 1:2,2사 1루 1:2,1.51,-0.322,62.2,65.8,-0.036
2021-04-13,두산,5초,김명신,강백호,0-0,2루수 병살타,"무사 1,2루 7:2",2사 3루 7:2,0.35,-1.186,4.3,6.3,-0.020
2021-04-13,두산,8초,이승진,강백호,2-1,중견수 뜬공,무사 1루 7:3,1사 1루 7:3,0.20,-0.380,3.0,3.4,-0.005
2021-04-14,두산,1초,이영하,강백호,2-3,강백호/13168 : 유격수 직선타 아웃,2사  0:0,이닝종료 0:0,0.40,-0.117,53.8,54.8,-0.010
2021-04-14,두산,4초,이영하,강백호,1-3,볼넷,무사  0:1,무사 1루 0:1,1.14,0.398,62.5,57.9,0.047
2021-04-14,두산,6초,이영하,강백호,1-1,유격수 땅볼,무사  1:3,1사  1:3,1.23,-0.258,78.3,81.4,-0.031
