name,Team,DATE,vs,result,bat_order,position,start_member,ab,score,hit,2_hit,3_hit,homerun,tb,rbi,sb,cs,bb,hpp,ibb,so,gdp,sh,sf,avg,obp,slg,ops,pitch,avLI,RE24,WPA,GYEAR,PCODE,POSITION,AGE_VA,MONEY,G_ID,power_barrel,contact_barrel,clutch_barrel
나성범,NC,20180324,LG,W 4:2,3,RF,1,4,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0.0,,0.0,0.0,12,1.49,-1.27,-0.1,2018,62947,외,28,43000만원,0.0,0.0,0.0,0.0
나성범,NC,20180325,LG,W 7:1,3,RF,1,3,1,1,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0.14300000000000002,,0.14300000000000002,0.47600000000000003,15,0.9,1.42,0.113,2018,62947,외,28,43000만원,0.0,0.0,1.0,0.0
나성범,NC,20180327,한화,W 9:6,3,RF,1,4,1,2,0,0,1,5,2,0,0,0,0,0,1,0,0,0,0.273,,0.545,0.93,15,0.93,4.22,0.32899999999999996,2018,62947,외,28,43000만원,0.0,1.0,0.0,1.0
나성범,NC,20180328,한화,L 2:6,3,RF,1,4,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.2,,0.4,0.6940000000000001,9,0.87,-1.09,-0.087,2018,62947,외,28,43000만원,0.0,0.0,0.0,0.0
나성범,NC,20180329,한화,W 4:1,3,RF,1,4,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0.263,,0.42100000000000004,0.754,15,1.6,-0.19,-0.076,2018,62947,외,28,43000만원,0.0,0.0,0.0,0.0
나성범,NC,20180330,@롯데,W 7:5,3,RF,1,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.20800000000000002,,0.33299999999999996,0.603,25,0.36,-1.3,-0.051,2018,62947,외,28,43000만원,0.0,1.0,0.0,0.0
나성범,NC,20180331,@롯데,W 10:5,3,RF,1,4,2,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0.214,,0.321,0.612,18,1.2,0.32,0.154,2018,62947,외,28,43000만원,0.0,0.0,0.0,0.0
나성범,NC,20180401,@롯데,L 2:3,3,RF,1,4,1,2,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0.25,,0.344,0.6579999999999999,11,1.11,0.02,0.022000000000000002,2018,62947,외,28,43000만원,0.0,0.0,0.0,0.0
나성범,NC,20180403,삼성,W 4:3,3,RF,1,4,0,1,1,0,0,2,1,0,0,0,0,0,1,0,0,0,0.25,,0.361,0.669,23,1.78,0.51,0.425,2018,62947,외,28,43000만원,0.0,1.0,0.0,0.0
나성범,NC,20180404,삼성,W 4:1,3,RF,1,4,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0.25,,0.375,0.677,9,0.77,-0.07,-0.055999999999999994,2018,62947,외,28,43000만원,0.0,1.0,0.0,0.0
나성범,NC,20180405,삼성,L 1:4,3,RF,1,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.25,,0.364,0.662,12,1.21,-0.73,-0.105,2018,62947,외,28,43000만원,0.0,0.0,0.0,0.0
나성범,NC,20180407,@두산,L 3:6,3,RF,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.22899999999999998,,0.33299999999999996,0.608,15,1.53,-1.37,-0.177,2018,62947,외,28,43000만원,0.0,0.0,0.0,0.0
나성범,NC,20180408,@두산,L 10:11,3,RF,1,5,2,3,1,0,0,4,3,0,0,0,0,0,2,0,0,0,0.264,,0.377,0.6809999999999999,18,1.53,2.58,0.22899999999999998,2018,62947,외,28,43000만원,0.0,0.0,0.0,0.0
나성범,NC,20180410,KT,L 4:5,3,RF,1,4,1,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.263,,0.368,0.6679999999999999,12,0.63,-0.27,0.031,2018,62947,외,28,43000만원,0.0,0.0,1.0,0.0
나성범,NC,20180411,KT,L 4:12,6,RF,1,3,1,2,1,0,1,6,1,0,0,0,1,0,0,0,0,0,0.28300000000000003,,0.45,0.778,17,0.54,1.73,0.192,2018,62947,외,28,43000만원,0.0,1.0,0.0,0.0
나성범,NC,20180412,KT,L 2:7,4,RF,1,4,1,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0.297,,0.469,0.807,8,0.63,0.71,0.06,2018,62947,외,28,43000만원,0.0,1.0,0.0,0.0
나성범,NC,20180413,@SK,L 2:4,4,RF,1,4,0,1,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0.294,,0.456,0.789,14,1.07,-0.52,-0.03,2018,62947,외,28,43000만원,0.0,0.0,0.0,0.0
나성범,NC,20180414,@SK,L 0:7,3,RF,1,3,0,1,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0.29600000000000004,,0.451,0.7929999999999999,14,0.6,0.81,0.019,2018,62947,외,28,43000만원,0.0,0.0,1.0,0.0
나성범,NC,20180415,@SK,L 2:3,3,RF,1,5,0,2,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0.303,,0.447,0.7929999999999999,19,1.42,-0.36,-0.098,2018,62947,외,28,43000만원,0.0,0.0,1.0,0.0
나성범,NC,20180417,@넥센,W 3:2,3,RF,1,5,1,4,0,0,1,7,2,0,0,0,0,0,0,0,0,0,0.33299999999999996,,0.506,0.878,18,1.63,2.1,0.578,2018,62947,외,28,43000만원,0.0,1.0,1.0,1.0
나성범,NC,20180418,@넥센,W 1:0,3,RF,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.321,,0.488,0.848,8,0.56,-0.35,-0.043,2018,62947,외,28,43000만원,0.0,1.0,0.0,0.0
