,name,Team,DATE,vs,result,bat_order,position,start_member,ab,score,hit,2_hit,3_hit,homerun,tb,rbi,sb,cs,bb,hpp,ibb,so,gdp,sh,sf,avg,obp,slg,ops,pitch,avLI,RE24,WPA,GYEAR,PCODE,POSITION,AGE_VA,MONEY,G_ID,power_barrel,contact_barrel,clutch_barrel
0,강백호,kt,20210404,한화,W 3:2,4,1B,1,3,0,2,0,0,0,2,0,2,0,1,0,0,0,0,0,0,0.667,,0.667,1.4169999999999998,16,1.14,0.89,0.122,2021,68050,내,21,31000만원,0.0,0.0,0.0,0.0
1,강백호,kt,20210406,LG,L 2:3,4,1B,1,4,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0.28600000000000003,,0.28600000000000003,0.6609999999999999,14,2.07,-1.0,-0.183,2021,68050,내,21,31000만원,0.0,0.0,0.0,0.0
2,강백호,kt,20210407,LG,W 7:3,4,1B,1,4,0,3,0,0,0,3,1,0,0,1,0,0,0,0,0,0,0.455,,0.455,0.993,17,1.43,1.75,0.33,2021,68050,내,21,31000만원,0.0,0.0,1.0,0.0
3,강백호,kt,20210408,LG,L 3:7,4,1B,1,4,0,2,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0.467,,0.467,0.996,17,0.89,-0.76,-0.102,2021,68050,내,21,31000만원,0.0,0.0,2.0,0.0
4,강백호,kt,20210409,@삼성,L 5:7,4,1B,1,5,0,3,0,1,0,5,3,0,0,0,0,0,1,1,0,0,0.5,,0.6,1.145,21,0.94,1.88,-0.122,2021,68050,내,21,31000만원,0.0,0.0,0.0,0.0
5,강백호,kt,20210410,@삼성,L 6:7,4,RF,1,3,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0.478,,0.565,1.104,22,0.94,1.0,0.103,2021,68050,내,21,31000만원,0.0,0.0,1.0,0.0
6,강백호,kt,20210411,@삼성,L 2:4,4,RF,1,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.444,,0.519,1.019,16,1.57,-0.2,-0.024,2021,68050,내,21,31000만원,0.0,0.0,0.0,0.0
7,강백호,kt,20210413,@두산,W 8:7,3,1B,1,5,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.406,,0.469,0.926,18,1.31,-2.23,-0.1,2021,68050,내,21,31000만원,0.0,0.0,1.0,0.0
8,강백호,kt,20210414,@두산,L 1:3,3,1B,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.371,,0.429,0.8640000000000001,23,1.19,-0.3,-0.042,2021,68050,내,21,31000만원,0.0,0.0,1.0,0.0
9,강백호,kt,20210415,@두산,W 8:3,3,1B,1,2,0,2,1,0,0,3,0,0,0,3,0,2,0,0,0,0,0.405,,0.486,0.986,18,1.11,1.51,0.134,2021,68050,내,21,31000만원,0.0,1.0,0.0,0.0
