,tb,rbi,sb,sh,sf,ibb,WPA,avg,obp,slg,ops,power_barrel,contact_barrel,clutch_barrel,xh,babib,pitch/pa,cq,b/k,IsoP,IsoD,hr%,kk%,bb%,xh/h,ueqr,wOBA,obp_label,slg_label,ops_label,ops_mean,avg_mean,obp_mean,slg_mean,power_barrel_mean,contact_barrel_mean,clutch_barrel_mean
0,0.571,0.183,0.0,0.0,0.0,0.008,0.011,0.37,0.405,0.605,1.01,0.111,0.143,0.04,0.127,0.392,3.52,0.423,0.438,0.235,0.03500000000000003,0.048,0.127,0.056,0.364,1.0,0.435,0.28,0.34782608695652173,0.6278260869565218,0.9924146341463415,0.3436829268292683,0.4082439024390245,0.584170731707317,0.10790243902439026,0.09595121951219515,0.02892682926829269
1,0.358,0.148,0.0,0.0,0.012,0.0,-0.001,0.273,0.305,0.377,0.6819999999999999,0.0,0.136,0.0,0.074,0.29,3.49,0.278,0.375,0.10399999999999998,0.03199999999999997,0.012,0.099,0.037,0.286,0.695,0.303,0.25,0.2,0.45,0.6207333333333336,0.24835555555555555,0.30437777777777786,0.31635555555555556,0.0024888888888888886,0.1274666666666667,0.0
2,0.474,0.09,0.051,0.038,0.0,0.0,-0.002,0.329,0.362,0.487,0.849,0.013,0.141,0.0,0.103,0.377,3.96,0.375,0.154,0.15799999999999997,0.032999999999999974,0.026,0.167,0.026,0.32,0.837,0.379,0.0,0.0,0.0,0.6532857142857144,0.2521428571428571,0.2876666666666667,0.3656190476190477,0.01964285714285715,0.10488095238095241,0.0
3,0.341,0.082,0.0,0.024,0.012,0.0,-0.006,0.282,0.345,0.372,0.717,0.071,0.141,0.0,0.059,0.339,4.41,0.318,0.375,0.09000000000000002,0.063,0.012,0.188,0.071,0.227,0.742,0.33,0.40425531914893614,0.4523809523809524,0.8566362715298885,0.6236285714285715,0.22805714285714287,0.3057714285714286,0.31785714285714284,0.05165714285714286,0.08751428571428573,0.0010571428571428572
4,0.328,0.09,0.0,0.0,0.0,0.0,-0.008,0.21,0.269,0.355,0.624,0.03,0.075,0.03,0.075,0.262,4.0,0.298,0.278,0.145,0.059000000000000025,0.03,0.269,0.075,0.385,0.634,0.275,0.45454545454545453,0.9583333333333334,1.4128787878787878,1.037181818181818,0.31272727272727274,0.38345454545454555,0.6537272727272726,0.11909090909090908,0.11645454545454546,0.03609090909090909
5,0.454,0.134,0.031,0.0,0.0,0.0,-0.0,0.344,0.404,0.489,0.893,0.041,0.144,0.021,0.072,0.394,3.96,0.388,0.438,0.14500000000000002,0.06000000000000005,0.031,0.165,0.072,0.226,0.903,0.402,0.22448979591836735,0.2978723404255319,0.5223621363438993,0.6788421052631577,0.2733157894736842,0.3336052631578946,0.3452368421052632,0.029157894736842094,0.13084210526315787,0.002921052631578947
6,0.341,0.099,0.022,0.0,0.011,0.0,0.001,0.253,0.275,0.356,0.631,0.022,0.077,0.0,0.077,0.289,3.95,0.271,0.25,0.10299999999999998,0.02200000000000002,0.0,0.132,0.033,0.318,0.654,0.275,0.2972972972972973,0.3235294117647059,0.6208267090620032,0.7288333333333331,0.2942222222222222,0.36383333333333334,0.365,0.015861111111111114,0.08186111111111113,0.0
7,0.414,0.138,0.057,0.0,0.0,0.0,0.003,0.244,0.303,0.439,0.742,0.08,0.046,0.034,0.092,0.254,3.52,0.31,0.333,0.195,0.059,0.046,0.172,0.057,0.4,0.771,0.329,0.4230769230769231,0.6122448979591837,1.0353218210361068,1.0376153846153844,0.34253846153846157,0.4156923076923077,0.621923076923077,0.11830769230769232,0.09907692307692308,0.04438461538461539
8,0.402,0.188,0.0,0.0,0.034,0.0,-0.004,0.221,0.274,0.452,0.726,0.111,0.051,0.026,0.094,0.25,4.07,0.366,0.265,0.231,0.05300000000000002,0.051,0.291,0.077,0.478,0.748,0.303,0.3181818181818182,0.5,0.8181818181818181,0.9438636363636362,0.31206818181818174,0.38834090909090907,0.5555227272727273,0.12113636363636364,0.07988636363636363,0.03590909090909089
9,0.549,0.167,0.029,0.0,0.0,0.01,0.009,0.231,0.352,0.615,0.967,0.167,0.039,0.029,0.127,0.204,4.64,0.455,0.355,0.384,0.12099999999999997,0.108,0.304,0.108,0.619,0.959,0.431,0.2692307692307692,0.5,0.7692307692307692,0.9852820512820514,0.30874358974358973,0.4141538461538461,0.5711282051282052,0.10933333333333341,0.08271794871794871,0.030923076923076935
