,tb,rbi,sb,sh,sf,ibb,WPA,avg,obp,slg,ops,power_barrel,contact_barrel,clutch_barrel,xh,babib,pitch/pa,cq,b/k,IsoP,IsoD,hr%,kk%,bb%,xh/h,ueqr,wOBA,obp_label,slg_label,ops_label,ops_mean,avg_mean,obp_mean,slg_mean,power_barrel_mean,contact_barrel_mean,clutch_barrel_mean
0,0.545,0.228,0.008,0.0,0.041,0.041,0.011,0.388,0.472,0.684,1.1560000000000001,0.13,0.049,0.041,0.138,0.402,3.89,0.477,1.25,0.29600000000000004,0.08399999999999996,0.041,0.13,0.163,0.447,1.121,0.496,0.30952380952380953,0.5,0.8095238095238095,0.9024634146341465,0.3371219512195121,0.3926341463414634,0.5098292682926832,0.11592682926829266,0.08917073170731708,0.031073170731707324
1,0.431,0.153,0.014,0.014,0.014,0.0,0.007,0.403,0.446,0.463,0.909,0.0,0.153,0.0,0.056,0.429,3.35,0.368,0.8,0.06,0.04299999999999998,0.0,0.069,0.056,0.148,0.928,0.417,0.3333333333333333,0.2857142857142857,0.6190476190476191,0.7402888888888891,0.3024888888888889,0.3788888888888887,0.3614000000000001,0.0032666666666666673,0.16022222222222227,0.0
2,0.262,0.098,0.033,0.0,0.0,0.016,0.01,0.196,0.262,0.286,0.548,0.049,0.049,0.0,0.049,0.222,3.95,0.224,0.5,0.08999999999999997,0.066,0.016,0.164,0.082,0.273,0.569,0.254,0.3225806451612903,0.4666666666666667,0.789247311827957,0.6336666666666668,0.2458095238095238,0.30554761904761907,0.32811904761904753,0.019357142857142868,0.08707142857142856,0.0
3,0.621,0.182,0.0,0.015,0.015,0.0,0.029,0.471,0.582,0.804,1.3860000000000001,0.121,0.091,0.015,0.136,0.513,4.89,0.579,1.556,0.3330000000000001,0.11099999999999999,0.061,0.136,0.212,0.375,1.316,0.581,0.3181818181818182,0.42105263157894735,0.7392344497607655,0.988909090909091,0.3382727272727273,0.40996969696969704,0.578939393939394,0.08633333333333332,0.12760606060606058,0.018151515151515158
4,0.506,0.084,0.0,0.0,0.0,0.0,-0.004,0.272,0.306,0.519,0.825,0.084,0.084,0.036,0.133,0.339,4.05,0.4,0.091,0.247,0.033999999999999975,0.036,0.265,0.024,0.5,0.824,0.356,0.38461538461538464,0.75,1.1346153846153846,0.9089999999999999,0.2920909090909091,0.3590909090909091,0.5499090909090909,0.0849090909090909,0.08618181818181815,0.015999999999999997
5,0.329,0.122,0.024,0.024,0.012,0.0,-0.002,0.197,0.271,0.355,0.626,0.037,0.061,0.0,0.073,0.194,4.33,0.244,0.417,0.15799999999999997,0.07400000000000001,0.037,0.146,0.061,0.4,0.652,0.287,0.24324324324324326,0.2222222222222222,0.46546546546546547,0.7465263157894738,0.2806052631578947,0.35731578947368414,0.38921052631578945,0.02376315789473685,0.10652631578947373,0.0
6,0.393,0.074,0.025,0.033,0.0,0.008,0.003,0.312,0.369,0.429,0.798,0.057,0.107,0.008,0.082,0.362,3.98,0.336,0.588,0.11699999999999999,0.056999999999999995,0.008,0.139,0.082,0.286,0.822,0.356,0.5454545454545454,0.5294117647058824,1.0748663101604277,0.7808611111111112,0.31644444444444453,0.37147222222222226,0.4093888888888889,0.029388888888888902,0.11450000000000002,0.0022222222222222222
7,0.417,0.107,0.078,0.01,0.0,0.0,0.008,0.323,0.406,0.462,0.8680000000000001,0.097,0.097,0.019,0.058,0.342,4.17,0.34,0.909,0.139,0.08300000000000002,0.029,0.107,0.097,0.2,0.902,0.397,0.3181818181818182,0.42857142857142855,0.7467532467532467,0.8300769230769229,0.29230769230769227,0.39300000000000007,0.4370769230769231,0.0913846153846154,0.07923076923076922,0.022153846153846156
8,0.395,0.171,0.0,0.0,0.013,0.026,0.008,0.242,0.338,0.455,0.793,0.145,0.066,0.079,0.092,0.283,3.83,0.354,0.5,0.21300000000000002,0.09600000000000003,0.039,0.237,0.118,0.438,0.792,0.358,0.5,0.3333333333333333,0.8333333333333333,0.8209268292682929,0.2902195121951218,0.36075609756097565,0.4601707317073171,0.12431707317073172,0.08075609756097563,0.03565853658536585
9,0.587,0.22,0.028,0.0,0.0,0.0,0.007,0.309,0.417,0.66,1.077,0.11,0.083,0.046,0.147,0.339,3.99,0.482,0.462,0.35100000000000003,0.10799999999999998,0.083,0.239,0.11,0.533,1.064,0.477,0.4074074074074074,0.6666666666666666,1.074074074074074,1.025051282051282,0.28074358974358976,0.40438461538461545,0.6206666666666668,0.13141025641025642,0.07743589743589745,0.03687179487179487
10,0.4,0.17,0.01,0.01,0.01,0.02,0.005,0.312,0.369,0.43,0.7989999999999999,0.05,0.08,0.0,0.07,0.37,3.58,0.358,0.316,0.118,0.056999999999999995,0.02,0.19,0.06,0.241,0.802,0.372,0.4166666666666667,0.6666666666666666,1.0833333333333333,0.8006500000000001,0.30955,0.37845,0.42219999999999985,0.043199999999999995,0.0885,0.00395
11,0.711,0.241,0.0,0.012,0.0,0.0,0.005,0.438,0.458,0.738,1.196,0.133,0.108,0.036,0.145,0.446,3.63,0.496,0.333,0.3,0.020000000000000018,0.072,0.108,0.036,0.343,1.185,0.506,0.45,0.6842105263157895,1.1342105263157896,0.9169268292682927,0.34726829268292675,0.40724390243902436,0.5096829268292683,0.06460975609756098,0.15297560975609759,0.012317073170731713
12,0.605,0.211,0.0,0.0,0.0,0.0,0.003,0.338,0.39,0.648,1.038,0.145,0.092,0.039,0.105,0.298,3.88,0.403,0.714,0.31,0.05199999999999999,0.092,0.092,0.066,0.333,1.026,0.443,0.38095238095238093,0.4117647058823529,0.7927170868347339,0.9613999999999999,0.3278,0.4048,0.5566000000000001,0.1274,0.0982,0.036199999999999996
13,0.652,0.295,0.027,0.0,0.018,0.018,0.02,0.381,0.446,0.753,1.199,0.107,0.098,0.054,0.152,0.378,3.86,0.499,0.812,0.372,0.065,0.08,0.143,0.116,0.459,1.144,0.501,0.3333333333333333,0.39285714285714285,0.7261904761904762,0.942909090909091,0.32831818181818184,0.37959090909090915,0.5633181818181817,0.07795454545454547,0.1028636363636364,0.030727272727272735
14,0.338,0.176,0.0,0.015,0.015,0.0,-0.007,0.234,0.286,0.359,0.645,0.059,0.044,0.015,0.088,0.269,4.01,0.277,0.25,0.12499999999999997,0.05199999999999996,0.015,0.176,0.044,0.4,0.669,0.293,0.4583333333333333,0.6086956521739131,1.0670289855072463,0.7751250000000001,0.293625,0.33699999999999997,0.43812500000000004,0.05424999999999999,0.088125,0.016249999999999997
15,0.638,0.138,0.052,0.0,0.0,0.0,0.007,0.396,0.448,0.698,1.146,0.086,0.052,0.017,0.172,0.45,3.83,0.502,0.5,0.30199999999999994,0.05199999999999999,0.052,0.172,0.086,0.476,1.129,0.483,0.35294117647058826,0.42857142857142855,0.7815126050420168,0.8441333333333334,0.2890666666666667,0.33319999999999994,0.5109333333333334,0.06633333333333333,0.10866666666666666,0.013
16,0.34,0.0,0.04,0.02,0.0,0.0,-0.005,0.319,0.373,0.362,0.735,0.0,0.16,0.0,0.04,0.326,3.78,0.274,3.0,0.04299999999999998,0.05399999999999999,0.0,0.02,0.06,0.133,0.75,0.342,0.35294117647058826,0.3125,0.6654411764705883,0.6173000000000001,0.27240000000000003,0.3223,0.295,0.0,0.1561,0.0
17,0.544,0.191,0.0,0.0,0.0,0.0,0.009,0.317,0.368,0.587,0.955,0.088,0.147,0.029,0.132,0.41,3.93,0.491,0.25,0.26999999999999996,0.05099999999999999,0.059,0.294,0.074,0.45,0.949,0.404,0.3793103448275862,0.3333333333333333,0.7126436781609196,0.9276666666666666,0.32108333333333333,0.36166666666666664,0.566,0.10833333333333335,0.11399999999999999,0.02841666666666667
18,0.388,0.155,0.01,0.0,0.019,0.0,0.004,0.253,0.269,0.404,0.673,0.058,0.078,0.019,0.087,0.275,4.15,0.302,0.111,0.15100000000000002,0.016000000000000014,0.029,0.175,0.019,0.36,0.695,0.29,0.35294117647058826,0.5,0.8529411764705883,0.7047619047619047,0.24785714285714291,0.29023809523809524,0.4145238095238095,0.0710952380952381,0.10414285714285713,0.027619047619047623
19,0.375,0.125,0.0,0.0,0.0,0.0,-0.007,0.21,0.297,0.407,0.704,0.091,0.034,0.034,0.091,0.22,4.18,0.292,0.389,0.19699999999999998,0.087,0.045,0.205,0.08,0.471,0.714,0.32,0.22727272727272727,0.23809523809523808,0.4653679653679653,0.6595,0.24134090909090908,0.29697727272727276,0.36252272727272733,0.09377272727272729,0.07811363636363636,0.029068181818181823
20,0.516,0.129,0.011,0.0,0.0,0.0,0.004,0.389,0.415,0.533,0.948,0.065,0.172,0.011,0.097,0.434,3.58,0.409,0.25,0.14400000000000002,0.025999999999999968,0.022,0.129,0.032,0.257,0.953,0.418,0.3142857142857143,0.40625,0.7205357142857143,0.9061428571428574,0.32892857142857135,0.3901428571428571,0.5160000000000001,0.09535714285714285,0.10783333333333338,0.015523809523809527
21,0.314,0.114,0.0,0.0,0.029,0.0,0.002,0.258,0.333,0.355,0.688,0.171,0.086,0.0,0.029,0.259,3.51,0.27,0.75,0.09699999999999998,0.07500000000000001,0.029,0.114,0.086,0.125,0.722,0.319,0.45454545454545453,0.45454545454545453,0.9090909090909091,0.6794,0.26780000000000004,0.3282,0.3512,0.1408,0.11300000000000002,0.0
22,0.259,0.148,0.0,0.0,0.0,0.0,-0.009,0.122,0.204,0.286,0.49,0.056,0.056,0.0,0.074,0.103,4.28,0.176,0.625,0.16399999999999998,0.08199999999999999,0.037,0.148,0.093,0.667,0.5,0.218,0.2608695652173913,0.22727272727272727,0.48814229249011853,0.8023720930232557,0.30962790697674425,0.361906976744186,0.44046511627906987,0.061674418604651164,0.12790697674418608,0.006302325581395352
23,0.44,0.11,0.01,0.02,0.01,0.0,0.012,0.385,0.452,0.484,0.9359999999999999,0.05,0.14,0.0,0.06,0.425,4.13,0.384,0.727,0.09899999999999998,0.067,0.01,0.11,0.08,0.171,0.949,0.433,0.5652173913043478,0.85,1.4152173913043478,0.8623749999999998,0.342625,0.41846875,0.44390625000000006,0.016875000000000005,0.11534374999999997,0.0
24,0.413,0.124,0.017,0.008,0.0,0.0,0.009,0.346,0.421,0.467,0.888,0.041,0.066,0.008,0.066,0.389,3.82,0.364,0.933,0.12100000000000005,0.07500000000000001,0.017,0.124,0.116,0.216,0.896,0.395,0.4827586206896552,0.68,1.1627586206896552,0.9049473684210526,0.3417368421052632,0.3933947368421053,0.5115526315789475,0.06863157894736842,0.09923684210526316,0.010868421052631583
25,0.358,0.06,0.045,0.0,0.015,0.0,-0.008,0.286,0.333,0.381,0.714,0.045,0.075,0.0,0.06,0.353,3.93,0.324,0.231,0.09500000000000003,0.04700000000000004,0.0,0.194,0.045,0.222,0.764,0.326,0.35714285714285715,0.32432432432432434,0.6814671814671815,0.7421904761904761,0.29673809523809525,0.35442857142857154,0.3877619047619048,0.02785714285714286,0.09523809523809526,0.0005952380952380953
26,0.596,0.284,0.0,0.0,0.018,0.009,0.009,0.396,0.432,0.644,1.076,0.11,0.092,0.018,0.138,0.402,3.28,0.439,0.545,0.248,0.035999999999999976,0.046,0.101,0.055,0.375,1.058,0.467,0.2962962962962963,0.6153846153846154,0.9116809116809117,0.9155,0.3632352941176471,0.4065882352941177,0.5089117647058825,0.05744117647058822,0.12823529411764703,0.004382352941176469
27,0.389,0.135,0.008,0.0,0.016,0.008,0.008,0.327,0.402,0.445,0.847,0.079,0.063,0.016,0.071,0.378,4.05,0.363,0.7,0.118,0.07500000000000001,0.016,0.159,0.111,0.25,0.863,0.382,0.38461538461538464,0.3333333333333333,0.717948717948718,0.8755476190476191,0.30792857142857144,0.3983809523809523,0.4771666666666666,0.09435714285714288,0.07540476190476193,0.024666666666666674
28,0.516,0.143,0.011,0.011,0.011,0.0,0.005,0.329,0.385,0.573,0.958,0.066,0.132,0.022,0.11,0.344,4.21,0.406,0.571,0.24399999999999994,0.055999999999999994,0.055,0.154,0.088,0.37,0.962,0.407,0.2702702702702703,0.2727272727272727,0.542997542997543,0.7505384615384616,0.28042307692307694,0.33465384615384625,0.4158846153846154,0.07757692307692307,0.11392307692307695,0.013115384615384616
29,0.361,0.056,0.028,0.0,0.0,0.0,0.003,0.294,0.333,0.382,0.7150000000000001,0.083,0.139,0.028,0.056,0.333,3.36,0.297,0.5,0.08800000000000002,0.039000000000000035,0.0,0.111,0.056,0.2,0.743,0.318,0.4857142857142857,0.5625,1.0482142857142858,0.7513939393939395,0.3084848484848485,0.370030303030303,0.38136363636363635,0.03863636363636365,0.12554545454545457,0.0036363636363636364
30,0.328,0.12,0.024,0.008,0.008,0.0,0.004,0.267,0.317,0.353,0.6699999999999999,0.064,0.12,0.008,0.048,0.333,3.95,0.316,0.286,0.08599999999999997,0.04999999999999999,0.016,0.224,0.064,0.194,0.702,0.303,0.5609756097560976,0.6774193548387096,1.2383949645948071,0.7568000000000003,0.27668888888888893,0.3401333333333333,0.4166666666666667,0.11013333333333336,0.09688888888888894,0.01920000000000001
