name,day,vs,result,bat_order,position,start_member,ab,score,hit,2_hit,3_hit,homerun,tb,rbi,sb,cs,bb,hpp,ibb,so,gdp,sh,sf,avg,obp,slg,ops,pitch,avLI,RE24,WPA
³ª¼º¹ü,03-31,·Ôµ¥,W 6:5,3,RF,1,3,1,1,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0.333,,0.333,0.833,21,0.77,-0.03,-0.041
³ª¼º¹ü,04-01,·Ôµ¥,L 0:3,3,RF,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.143,,0.143,0.393,23,1.07,-1.1,-0.11
³ª¼º¹ü,04-02,·Ôµ¥,L 4:12,3,RF,1,4,1,1,0,0,0,1,0,1,0,0,0,0,2,0,0,0,0.182,,0.182,0.432,18,0.59,-0.01,-0.009
³ª¼º¹ü,04-04,@ÇÑÈ­,L 0:6,3,RF,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.133,,0.133,0.321,21,0.32,-0.81,-0.033
³ª¼º¹ü,04-06,@ÇÑÈ­,W 5:2,3,RF,1,5,2,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0.2,,0.2,0.438,17,0.7,0.83,0.095
³ª¼º¹ü,04-07,@SK,W 5:3,3,RF,1,4,1,2,1,0,0,3,2,1,0,0,1,0,0,0,0,0,0.25,,0.292,0.599,20,1.2,1.65,0.286
³ª¼º¹ü,04-08,@SK,L 2:9,3,RF,1,4,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0.25,,0.286,0.586,19,0.6,-0.71,-0.065
³ª¼º¹ü,04-09,@SK,L 5:8,3,RF,1,5,2,3,0,0,0,3,1,1,0,0,0,0,1,0,0,0,0.303,,0.333,0.676,20,1.26,1.38,0.12
³ª¼º¹ü,04-11,LG,W 4:3,3,RF,1,4,2,2,2,0,0,4,2,0,0,0,0,0,1,0,0,0,0.324,,0.405,0.764,13,1.34,1.88,0.319
³ª¼º¹ü,04-12,LG,W 5:0,3,RF,1,5,1,1,0,0,1,4,1,0,0,0,0,0,4,0,0,0,0.31,,0.452,0.793,21,0.44,-0.45,0.058
³ª¼º¹ü,04-13,LG,W 3:1,3,RF,1,3,0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0.311,,0.444,0.799,12,0.45,-0.23,-0.021
³ª¼º¹ü,04-14,µÎ»ê,L 6:10,3,RF,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.286,,0.408,0.735,12,1.23,-1.6,-0.13
³ª¼º¹ü,04-15,µÎ»ê,L 2:11,3,RF,1,4,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.283,,0.396,0.718,16,0.71,-0.95,-0.057
³ª¼º¹ü,04-16,µÎ»ê,W 4:0,3,RF,1,4,1,2,0,0,0,2,1,0,0,0,0,0,0,1,0,0,0.298,,0.404,0.737,12,0.56,-0.24,-0.014
³ª¼º¹ü,04-18,@·Ôµ¥,W 8:3,3,RF,1,5,2,2,0,0,0,2,1,0,0,0,0,0,1,0,0,0,0.306,,0.403,0.742,16,1.37,-1.07,0.051
³ª¼º¹ü,04-19,@·Ôµ¥,W 8:2,3,RF,1,5,2,3,0,0,1,6,1,0,0,0,0,0,2,0,0,0,0.328,,0.463,0.82,14,0.64,1.19,0.038
³ª¼º¹ü,04-20,@·Ôµ¥,W 5:4,3,RF,1,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.31,,0.437,0.774,12,0.51,-1.09,-0.052
³ª¼º¹ü,04-21,@»ï¼º,D 4:4,3,RF,1,4,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0,0.293,,0.413,0.751,29,1.73,-0.71,-0.094
³ª¼º¹ü,04-22,@»ï¼º,W 14:6,3,RF,1,5,3,3,3,0,0,6,4,0,0,0,0,0,1,0,0,0,0.313,,0.463,0.815,11,1.08,3.45,0.298
³ª¼º¹ü,04-23,@»ï¼º,W 6:3,3,RF,1,5,1,3,1,0,1,7,2,0,0,0,0,0,1,0,0,0,0.329,,0.518,0.884,14,1.27,1.6,0.176
³ª¼º¹ü,04-25,kt,W 2:1,3,RF,1,3,2,1,0,0,1,4,1,0,0,1,0,0,1,0,0,0,0.33,,0.545,0.918,16,0.64,0.98,0.189
³ª¼º¹ü,04-26,kt,W 11:4,3,RF,1,4,2,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0.337,,0.543,0.927,18,0.25,0.58,0.018
³ª¼º¹ü,04-27,kt,W 3:0,3,RF,1,4,1,3,0,0,1,6,1,1,0,0,0,0,0,0,0,0,0.354,,0.583,0.981,12,0.77,1.69,0.153
